iter	RMSE
151	775.5973239
152	773.2231847
153	770.3540661
154	768.3238658
155	766.018563
156	763.5915328
157	761.4919833
158	759.1860576
159	756.4852389
160	754.2657844
161	751.8245473
162	749.1836953
163	746.9920295
164	744.2262782
165	741.8356354
166	739.6660892
167	737.7852702
168	736.3002249
169	734.5901488
170	732.973105
171	730.7883372
172	728.7641742
173	726.9598428
174	724.8669009
175	723.465019
176	721.6800429
177	720.2826902
178	718.097735
179	716.5172717
180	715.1293474
181	713.8261228
182	712.0284039
183	710.5672256
184	709.1385533
185	707.4333483
186	705.72849
187	704.2625955
188	702.7091276
189	700.7643123
190	699.2216103
191	697.4800807
192	695.6387742
193	693.8046605
194	692.1618571
195	689.8114533
196	688.0723615
197	687.0947676
198	685.2507232
199	683.8911668
200	682.61219
201	681.1814307
202	679.5212773
203	677.8721221
204	677.1106554
205	675.9882808
206	674.2400043
207	673.0716041
208	671.7403334
209	670.3159108
210	669.1295929
211	668.3214942
212	667.45837
213	666.4896213
214	665.171119
215	664.2221068
216	662.9792401
217	661.8382034
218	660.4467734
219	659.3885685
220	657.6392505
221	656.1933789
222	655.1116443
223	653.9990138
224	653.0158847
225	652.40205
226	650.9480093
227	649.5456689
228	647.9121887
229	646.7017344
230	645.5578344
231	644.5199106
232	643.0704502
233	642.2172665
234	640.898057
235	639.9477385
236	639.1174256
237	638.0463415
238	637.0992078
239	635.437767
240	633.9421996
241	633.0613985
242	632.3999546
243	631.2565622
244	630.2631846
245	629.3458308
246	627.9085989
247	626.7636445
248	625.9374264
249	624.8400618
250	624.0641369
251	623.0317824
252	622.0456453
253	621.1020184
254	620.2097541
255	619.1372736
256	618.3213123
257	617.2839317
258	616.3000975
259	615.6468591
260	614.8273207
261	613.6872811
262	612.7951661
263	612.0135218
264	611.4920079
265	609.9641877
266	609.1227972
267	607.9357882
268	607.3452288
269	606.3233495
270	605.4620641
271	604.4202577
272	603.7156676
273	602.3672499
274	601.6376456
275	600.8117822
276	599.8619594
277	599.3563848
278	598.3435348
279	597.6777766
280	596.7119184
281	595.8241545
282	595.2815113
283	594.3780226
284	593.4274681
285	592.9330505
286	592.2634965
287	591.8115491
288	590.7573407
289	589.9400134
290	589.4725196
291	588.7549588
292	587.9382682
293	587.3544729
294	586.7919599
295	586.0676305
296	585.2330531
297	584.8309806
298	584.1095094
299	583.6687181
300	583.1098737
301	582.4135027
302	581.730826
303	580.8027548
304	580.0669521
305	579.3926929
306	578.5374667
307	577.3832059
308	576.5776448
309	576.1718666
310	575.3878696
311	575.0877241
312	574.2504005
313	573.7533109
314	573.1801662
315	572.2774399
316	571.2112751
317	570.2972668
318	569.0712921
319	568.2709104
320	567.7839656
321	566.9433528
322	566.304558
323	565.7405792
324	564.7543734
325	563.995975
326	563.1350967
327	562.3339635
328	561.4884796
329	561.1408774
330	560.0155654
331	559.2083075
332	558.2158397
333	557.3936287
334	556.6645252
335	555.5470295
336	555.0742154
337	554.3270834
338	553.4658194
339	552.5151741
340	552.0727281
341	551.3442177
342	550.7364275
343	550.046138
344	549.2170555
345	548.7395204
346	547.9331668
347	547.3878232
348	546.663085
349	546.1693707
350	545.5256457
351	544.9252254
352	544.0906592
353	543.2575834
354	542.47143
355	541.9212045
356	541.4287602
357	540.8703384
358	540.2982111
359	539.442818
360	538.4666903
361	537.9271315
362	537.0506155
363	536.5412784
364	535.7262546
365	534.9313999
366	534.3469657
367	533.5435108
368	532.9058421
369	532.2483255
370	531.4831757
371	530.8133673
372	530.3699617
373	530.152242
374	529.9062319
375	529.0973503
376	528.3439237
377	527.8054918
378	527.395771
379	526.6519322
380	526.0085578
381	525.4536229
382	525.0627715
383	524.5496793
384	524.0695708
385	523.4425029
386	522.8570952
387	522.0807908
388	521.3895834
389	520.6055732
390	520.1873037
391	519.6138113
392	519.1081326
393	518.6591452
394	518.1322941
395	517.2145015
396	516.4177066
397	515.7457009
398	515.3572196
399	514.7267814
400	514.254406
401	513.485564
402	512.8763203
403	512.3111505
404	511.7425124
405	511.4102798
406	510.5488023
407	510.0565176
408	509.5389724
409	509.0796646
410	508.2414103
411	507.8314601
412	507.2813324
413	506.6084104
414	506.3356282
415	505.546012
416	504.9496504
417	504.4337683
418	504.1273965
419	503.7941191
420	503.463782
421	502.7734208
422	502.3035635
423	501.8050534
424	501.1056846
425	500.592788
426	499.8301628
427	499.1799898
428	498.519049
429	497.8990954
430	497.1417592
431	496.6604504
432	496.2776884
433	495.729359
434	495.4715286
435	495.0497555
436	494.426886
437	493.8684665
438	493.3804611
439	492.9872192
440	492.5840213
441	492.092098
442	491.8063865
443	491.0337733
444	490.4811133
445	490.2553579
446	489.7637329
447	489.4107342
448	488.830385
449	487.9020258
450	487.4186408
451	486.8402553
452	486.3173456
453	485.9211418
454	485.3441107
455	484.9321764
456	484.3612022
457	483.8642016
458	483.2254215
459	482.7878167
460	482.3712344
461	481.6688096
462	481.1437536
463	480.8089053
464	480.2489454
465	479.5117204
466	479.2160355
467	478.8184476
468	478.1778414
469	477.5600909
470	477.1712366
471	476.4874585
472	475.7968398
473	475.318498
474	474.6365938
475	474.1814709
476	473.7820382
477	473.1618696
478	472.524885
479	472.0510066
480	471.7094326
481	471.280955
482	470.8198214
483	470.3147327
484	469.8459336
485	469.5239768
486	469.2879053
487	468.764243
488	468.5436169
489	467.9821417
490	467.599484
491	467.1654666
492	466.7439332
493	466.2790904
494	465.5837787
495	465.3633215
496	464.7921197
497	464.2262705
498	463.6637394
499	463.1784552
500	462.6395575
501	462.3498194
502	462.0967662
503	461.4997259
504	461.2574289
505	460.9302739
506	460.5785516
507	460.1581691
508	459.5717621
509	458.915303
510	458.4732066
511	457.9615515
512	457.4695361
513	457.0303206
514	456.5094498
515	456.1385065
516	455.6603694
517	455.1764459
518	454.5756013
519	454.2492611
520	453.6534345
521	453.0388473
522	452.5657645
523	452.2209064
524	451.7661443
525	451.3853701
526	451.0004217
527	450.4791646
528	449.9843036
529	449.4864099
530	449.0016408
531	448.583612
532	448.0988738
533	447.7629303
534	447.4785949
535	447.1073666
536	446.8774541
537	446.3002638
538	445.9537564
539	445.4968187
540	445.1731573
541	444.6844214
542	444.1101571
543	443.622891
544	443.0136602
545	442.5998509
546	442.1278452
547	441.6294192
548	441.0104118
549	440.6007704
550	440.1373973
551	439.8266687
552	439.4129562
553	439.0926734
554	438.6598196
555	438.3874845
556	438.0858274
557	437.6955351
558	437.3661309
559	436.9318093
560	436.3773171
561	436.003659
562	435.6361611
563	435.2473425
564	434.9183219
565	434.5626146
566	434.0747549
567	433.6648373
568	433.1402299
569	432.7449074
570	432.113579
571	431.7279064
572	431.1726112
573	430.8938351
574	430.3514783
575	429.8971732
576	429.590838
577	429.2282806
578	428.6360492
579	427.9108024
580	427.5228348
581	427.1525557
582	426.809413
583	426.5365687
584	426.2251138
585	425.8440844
586	425.3002816
587	424.7241697
588	424.2547878
589	423.8580934
590	423.5207208
591	423.1077095
592	422.9103349
593	422.3820194
594	421.9570424
595	421.7436768
596	421.4221003
597	420.9473836
598	420.597394
599	420.0804383
600	419.5649688
601	419.1623249
602	418.8077675
603	418.3910329
604	417.8039529
605	417.3422566
606	416.8249736
607	416.3759106
608	415.846456
609	415.4600869
610	415.1605018
611	414.753262
612	414.5156606
613	413.8998625
614	413.4561467
615	413.1438318
616	412.7273822
617	412.4505351
618	412.1813855
619	411.6994259
620	411.174841
621	410.8087983
622	410.651401
623	410.1818259
624	409.805384
625	409.3185313
626	408.8144209
627	408.3388324
628	408.0548087
629	407.7415268
630	407.2425494
631	406.9449255
632	406.641989
633	406.3174555
634	405.8107584
635	405.3471336
636	404.8654576
637	404.6085242
638	404.3400511
639	403.9776862
640	403.7142042
641	403.4319568
642	402.962071
643	402.6277958
644	402.1510097
645	401.8411295
646	401.543783
647	401.2713411
648	401.0483118
649	400.7240083
650	400.5088626
651	400.2637105
652	399.8618296
653	399.5595618
654	399.1175386
655	398.7852602
656	398.2858782
657	398.0418765
658	397.4549707
659	397.0580941
660	396.6993207
661	396.2611511
662	395.8503795
663	395.427445
664	395.0522189
665	394.6805352
666	394.3572225
667	394.1954189
668	393.8667593
669	393.4392357
670	393.1351204
671	392.8868406
672	392.4388223
673	391.9684066
674	391.7467596
675	391.5806166
676	391.2702723
677	390.8201187
678	390.5935582
679	390.1366862
680	389.9207143
681	389.7991969
682	389.6420601
683	389.3607207
684	388.989862
685	388.6805553
686	388.3048925
687	388.0455891
688	387.9179799
689	387.6847476
690	387.3090599
691	386.9295997
692	386.4875862
693	386.1280778
694	385.7042378
695	385.4660913
696	385.2085182
697	384.8568933
698	384.7169773
699	384.4506207
700	384.0819442
701	383.6735822
702	383.3136498
703	382.8886726
704	382.5668514
705	382.2573902
706	381.96036
707	381.8067107
708	381.504738
709	381.1367301
710	380.7866543
711	380.404118
712	380.1311894
713	379.7056114
714	379.4040248
715	378.9911737
716	378.7100658
717	378.3387967
718	378.0146703
719	377.7379626
720	377.4494792
721	377.1362073
722	376.876725
723	376.5571054
724	376.4383524
725	376.1442603
726	375.9169656
727	375.6406589
728	375.2647895
729	374.9202135
730	374.621479
731	374.2866629
732	373.9820993
733	373.6734293
734	373.3899901
735	373.1153556
736	372.8017595
737	372.6082873
738	372.2526363
739	371.9817541
740	371.7046758
741	371.2949
742	371.1119149
743	370.8546919
744	370.3339276
745	370.1462613
746	369.7648979
747	369.3986285
748	369.1764907
749	368.9577948
750	368.6653781
751	368.3993428
752	368.0709517
753	367.6903951
754	367.3107911
755	366.855675
756	366.5952499
757	366.3327596
758	366.0884169
759	365.944389
760	365.5470559
761	365.3155416
762	364.9982111
763	364.6546288
764	364.3413936
765	364.1623271
766	363.8660566
767	363.5772686
768	363.1665358
769	362.7949549
770	362.4370844
771	362.0998806
772	361.8274294
773	361.5155698
774	361.3040881
775	361.0050744
776	360.705011
777	360.4678764
778	360.2006285
779	359.7782453
780	359.4438129
781	359.2764648
782	359.1715854
783	358.848447
784	358.4355934
785	358.0732989
786	357.7738836
787	357.5274848
788	357.3381588
789	357.0664626
790	356.8710682
791	356.5472972
792	356.2863811
793	356.0568142
794	355.7526398
795	355.3564162
796	355.1102977
797	354.8499964
798	354.6169867
799	354.4417443
800	354.1011647
801	353.8272588
802	353.5018395
803	353.248866
804	352.9138292
805	352.6754419
806	352.5177664
807	352.2244976
808	351.8313497
809	351.4393217
810	351.2877288
811	351.0320355
812	350.7780054
813	350.5648454
814	350.396804
815	350.2478428
816	350.0859496
817	349.8225903
818	349.4841079
819	349.1217736
820	348.9854099
821	348.7359117
822	348.4770611
823	348.1487829
824	347.8537994
825	347.6126665
826	347.378662
827	347.1793679
828	346.9492878
829	346.7302625
830	346.4656812
831	346.1898768
832	345.9215293
833	345.7503351
834	345.4490192
835	345.183016
836	344.8865285
837	344.7636594
838	344.5688946
839	344.3628238
840	344.091524
841	343.9630021
842	343.5321085
843	343.1808965
844	342.857356
845	342.6255868
846	342.2802655
847	341.8856137
848	341.6370268
849	341.3174998
850	340.9889036
851	340.6601744
852	340.4502164
853	340.1009223
854	339.9006669
855	339.7147892
856	339.5240306
857	339.3055385
858	339.0516999
859	338.8080998
860	338.6116397
861	338.4347407
862	338.250471
863	338.0131116
864	337.8663387
865	337.53176
866	337.3089904
867	337.0294745
868	336.734255
869	336.4331805
870	336.1658957
871	335.9292578
872	335.6963144
873	335.354278
874	335.1821099
875	334.9529984
876	334.7115065
877	334.4141913
878	334.2993825
879	334.0756652
880	333.8648995
881	333.6239994
882	333.3680967
883	333.2524201
884	333.1304211
885	332.8316092
886	332.5759414
887	332.3704362
888	332.1139914
889	331.8906361
890	331.5792824
891	331.3771212
892	331.2293695
893	330.9742688
894	330.7320512
895	330.5303155
896	330.2932398
897	330.1550346
898	329.8970792
899	329.6452461
900	329.3788538
901	329.1375542
902	328.8692253
903	328.6106839
904	328.3636047
905	328.0786998
906	327.9103054
907	327.7143188
908	327.4910371
909	327.309467
910	327.0444512
911	326.8227295
912	326.5831333
913	326.3339494
914	326.125492
915	325.9915396
916	325.8673862
917	325.6445721
918	325.3512571
919	325.1481571
920	324.9839061
921	324.8523359
922	324.6923893
923	324.4536266
924	324.2689365
925	324.0413131
926	323.905416
927	323.7367791
928	323.5692379
929	323.3214681
930	323.1177734
931	322.878091
932	322.656202
933	322.4580777
934	322.1277855
935	321.7363172
936	321.503391
937	321.2127526
938	321.0063891
939	320.7120925
940	320.4721632
941	320.3684033
942	320.1344677
943	320.0147526
944	319.7776742
945	319.5106851
946	319.2826579
947	319.0294494
948	318.7732957
949	318.5326869
950	318.306265
951	318.1365523
952	317.8597812
953	317.4667299
954	317.3593723
955	317.1071629
956	316.9338705
957	316.8432403
958	316.5864701
959	316.359252
960	316.1769507
961	315.9689448
962	315.7578339
963	315.5585597
964	315.3498825
965	315.2254181
966	315.1021943
967	314.9092912
968	314.6655071
969	314.4662368
970	314.2720068
971	314.0485093
972	313.8244905
973	313.5992977
974	313.2946232
975	312.932626
976	312.759756
977	312.5887904
978	312.3999217
979	312.2134875
980	311.999344
981	311.822722
982	311.6439952
983	311.4920506
984	311.2443605
985	310.9883395
986	310.6108722
987	310.4762585
988	310.2085479
989	309.8868031
990	309.6399979
991	309.2706085
992	309.0842487
993	308.8213277
994	308.6009552
995	308.3379433
996	308.1196774
997	307.9482783
998	307.6463196
999	307.4597318
